DEBUG CRÉDITO ICMS ST

PRODUTO: 00000000048673 | BC_ST: 27.68 | ALIQ: 0.18 | CREDITO: 4.9824
PRODUTO: 00000000048673 | BC_ST: 193.75 | ALIQ: 0.18 | CREDITO: 34.875
PRODUTO: 00000000048676 | BC_ST: 47.91 | ALIQ: 0.18 | CREDITO: 8.6238
PRODUTO: 00000000048676 | BC_ST: 782.32 | ALIQ: 0.18 | CREDITO: 140.8176
PRODUTO: 00000000048696 | BC_ST: 258.5 | ALIQ: 0.18 | CREDITO: 46.53
PRODUTO: 00000000048734 | BC_ST: 311.5 | ALIQ: 0.25 | CREDITO: 77.875
PRODUTO: 00000000048771 | BC_ST: 31.08 | ALIQ: 0.18 | CREDITO: 5.594399999999999
PRODUTO: 00000000048779 | BC_ST: 140.51 | ALIQ: 0.18 | CREDITO: 25.2918
PRODUTO: 00000000048784 | BC_ST: 288.95 | ALIQ: 0.18 | CREDITO: 52.010999999999996
PRODUTO: 00000000048784 | BC_ST: 29.41 | ALIQ: 0.18 | CREDITO: 5.2938
PRODUTO: 00000000048784 | BC_ST: 29.41 | ALIQ: 0.18 | CREDITO: 5.2938
PRODUTO: 00000000048785 | BC_ST: 140.51 | ALIQ: 0.18 | CREDITO: 25.2918
PRODUTO: 00000000048785 | BC_ST: 211.82 | ALIQ: 0.18 | CREDITO: 38.127599999999994
PRODUTO: 00000000048785 | BC_ST: 281.05 | ALIQ: 0.18 | CREDITO: 50.589
PRODUTO: 00000000048788 | BC_ST: 36.52 | ALIQ: 0.18 | CREDITO: 6.5736
PRODUTO: 00000000048790 | BC_ST: 38.53 | ALIQ: 0.18 | CREDITO: 6.9354
PRODUTO: 00000000048972 | BC_ST: 35.04 | ALIQ: 0.18 | CREDITO: 6.3072
PRODUTO: 00000000048972 | BC_ST: 35.04 | ALIQ: 0.18 | CREDITO: 6.3072
PRODUTO: 00000000048973 | BC_ST: 22.21 | ALIQ: 0.18 | CREDITO: 3.9978
PRODUTO: 00000000048974 | BC_ST: 21.97 | ALIQ: 0.18 | CREDITO: 3.9545999999999997
PRODUTO: 00000000048975 | BC_ST: 65.6 | ALIQ: 0.18 | CREDITO: 11.807999999999998
PRODUTO: 00000000048977 | BC_ST: 16.38 | ALIQ: 0.18 | CREDITO: 2.9484
PRODUTO: 00000000048978 | BC_ST: 15.21 | ALIQ: 0.18 | CREDITO: 2.7378
PRODUTO: 00000000048979 | BC_ST: 32.81 | ALIQ: 0.18 | CREDITO: 5.9058
PRODUTO: 00000000048982 | BC_ST: 21.53 | ALIQ: 0.18 | CREDITO: 3.8754
PRODUTO: 00000000048983 | BC_ST: 20.81 | ALIQ: 0.18 | CREDITO: 3.7457999999999996
PRODUTO: 00000000048984 | BC_ST: 21.94 | ALIQ: 0.18 | CREDITO: 3.9492000000000003
PRODUTO: 00000000048985 | BC_ST: 19.75 | ALIQ: 0.18 | CREDITO: 3.5549999999999997
PRODUTO: 00000000048985 | BC_ST: 21.12 | ALIQ: 0.18 | CREDITO: 3.8016
PRODUTO: 00000000048986 | BC_ST: 16.66 | ALIQ: 0.18 | CREDITO: 2.9988
PRODUTO: 00000000048997 | BC_ST: 22.45 | ALIQ: 0.18 | CREDITO: 4.0409999999999995
PRODUTO: 00000000048997 | BC_ST: 101.61 | ALIQ: 0.18 | CREDITO: 18.2898
PRODUTO: 00000000048997 | BC_ST: 50.8 | ALIQ: 0.18 | CREDITO: 9.143999999999998
PRODUTO: 00000000048997 | BC_ST: 50.8 | ALIQ: 0.18 | CREDITO: 9.143999999999998
PRODUTO: 00000000048999 | BC_ST: 23.41 | ALIQ: 0.18 | CREDITO: 4.2138
PRODUTO: 00000000048999 | BC_ST: 222.05 | ALIQ: 0.18 | CREDITO: 39.969
PRODUTO: 00000000049025 | BC_ST: 52.71 | ALIQ: 0.18 | CREDITO: 9.4878
PRODUTO: 00000000049025 | BC_ST: 140.51 | ALIQ: 0.18 | CREDITO: 25.2918
PRODUTO: 00000000049039 | BC_ST: 95.78 | ALIQ: 0.18 | CREDITO: 17.2404
PRODUTO: 00000000049093 | BC_ST: 34.28 | ALIQ: 0.25 | CREDITO: 8.57
PRODUTO: 00000000049102 | BC_ST: 110.92 | ALIQ: 0.25 | CREDITO: 27.73
PRODUTO: 00000000049150 | BC_ST: 46.37 | ALIQ: 0.25 | CREDITO: 11.5925
PRODUTO: 00000000049154 | BC_ST: 105.25 | ALIQ: 0.18 | CREDITO: 18.945
PRODUTO: 00000000049154 | BC_ST: 437.87 | ALIQ: 0.18 | CREDITO: 78.8166
PRODUTO: 00000000049193 | BC_ST: 315.71 | ALIQ: 0.18 | CREDITO: 56.827799999999996
PRODUTO: 00000000049242 | BC_ST: 47.86 | ALIQ: 0.18 | CREDITO: 8.614799999999999
PRODUTO: 00000000049244 | BC_ST: 210.46 | ALIQ: 0.18 | CREDITO: 37.8828
PRODUTO: 00000000049244 | BC_ST: 207.74 | ALIQ: 0.18 | CREDITO: 37.3932
PRODUTO: 00000000049264 | BC_ST: 15.05 | ALIQ: 0.25 | CREDITO: 3.7625
PRODUTO: 00000000049265 | BC_ST: 87.6 | ALIQ: 0.18 | CREDITO: 15.767999999999999
PRODUTO: 00000000049288 | BC_ST: 54.5 | ALIQ: 0.18 | CREDITO: 9.81
PRODUTO: 00000000049291 | BC_ST: 209.38 | ALIQ: 0.25 | CREDITO: 52.345
PRODUTO: 00000000049353 | BC_ST: 250.35 | ALIQ: 0.25 | CREDITO: 62.5875
PRODUTO: 00000000049362 | BC_ST: 412.89 | ALIQ: 0.18 | CREDITO: 74.3202
PRODUTO: 00000000049362 | BC_ST: 117.17 | ALIQ: 0.18 | CREDITO: 21.0906
PRODUTO: 00000000049403 | BC_ST: 69.06 | ALIQ: 0.25 | CREDITO: 17.265
PRODUTO: 00000000049680 | BC_ST: 107.58 | ALIQ: 0.18 | CREDITO: 19.3644
PRODUTO: 00000000049680 | BC_ST: 616.08 | ALIQ: 0.18 | CREDITO: 110.8944
PRODUTO: 00000000049680 | BC_ST: 410.72 | ALIQ: 0.18 | CREDITO: 73.92960000000001
PRODUTO: 00000000049765 | BC_ST: 451.96 | ALIQ: 0.18 | CREDITO: 81.35279999999999
PRODUTO: 00000000049812 | BC_ST: 70.89 | ALIQ: 0.18 | CREDITO: 12.7602
PRODUTO: 00000000049812 | BC_ST: 444.63 | ALIQ: 0.18 | CREDITO: 80.0334
PRODUTO: 00000000049812 | BC_ST: 35.45 | ALIQ: 0.18 | CREDITO: 6.381
PRODUTO: 00000000049812 | BC_ST: 74.1 | ALIQ: 0.18 | CREDITO: 13.338
PRODUTO: 00000000049812 | BC_ST: 74.1 | ALIQ: 0.18 | CREDITO: 13.338
PRODUTO: 00000000049812 | BC_ST: 74.1 | ALIQ: 0.18 | CREDITO: 13.338
PRODUTO: 00000000049812 | BC_ST: 666.93 | ALIQ: 0.18 | CREDITO: 120.04739999999998
PRODUTO: 00000000049878 | BC_ST: 88.6 | ALIQ: 0.18 | CREDITO: 15.947999999999999
