DEBUG ICMS ST - NORMAL

PRODUTO: 00000000045629 | BC_ST: 51.91 | QTD: 3.0 | QTD_UTIL: 1.0 | BC_PROP: 17.30333333333333 | ALIQ: 18.0 | CREDITO: 3.1145999999999994
PRODUTO: 00000000046054 | BC_ST: 0.0 | QTD: 30.0 | QTD_UTIL: 30.0 | BC_PROP: 0.0 | ALIQ: 0.0 | CREDITO: 0.0
PRODUTO: 00000000046442 | BC_ST: 95.2 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 95.2 | ALIQ: 18.0 | CREDITO: 17.136
PRODUTO: 00000000046555 | BC_ST: 73.71 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 73.71 | ALIQ: 25.0 | CREDITO: 18.4275
PRODUTO: 00000000046593 | BC_ST: 115.85 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 57.925 | ALIQ: 18.0 | CREDITO: 10.426499999999999
PRODUTO: 00000000046898 | BC_ST: 625.2 | QTD: 6.0 | QTD_UTIL: 6.0 | BC_PROP: 625.2 | ALIQ: 25.0 | CREDITO: 156.3
PRODUTO: 00000000046898 | BC_ST: 1653.39 | QTD: 16.0 | QTD_UTIL: 16.0 | BC_PROP: 1653.39 | ALIQ: 25.0 | CREDITO: 413.3475
PRODUTO: 00000000046898 | BC_ST: 112.89 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 112.89 | ALIQ: 25.0 | CREDITO: 28.2225
PRODUTO: 00000000046898 | BC_ST: 2144.67 | QTD: 19.0 | QTD_UTIL: 1.0 | BC_PROP: 112.87736842105264 | ALIQ: 25.0 | CREDITO: 28.21934210526316
PRODUTO: 00000000046931 | BC_ST: 222.14 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 222.14 | ALIQ: 18.0 | CREDITO: 39.9852
PRODUTO: 00000000046931 | BC_ST: 111.07 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 111.07 | ALIQ: 18.0 | CREDITO: 19.9926
PRODUTO: 00000000046931 | BC_ST: 423.14 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 423.14 | ALIQ: 18.0 | CREDITO: 76.1652
PRODUTO: 00000000047144 | BC_ST: 41.52 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 41.52 | ALIQ: 18.0 | CREDITO: 7.4736
PRODUTO: 00000000047145 | BC_ST: 109.3 | QTD: 10.0 | QTD_UTIL: 10.0 | BC_PROP: 109.3 | ALIQ: 18.0 | CREDITO: 19.674
