DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000047152 | BC_ST: 37.48 | BC_ICMS: 23.14 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 14.339999999999996 | ALIQ: 18.0 | CREDITO: 2.581199999999999
PRODUTO: 00000000047154 | BC_ST: 14.87 | BC_ICMS: 9.18 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 5.6899999999999995 | ALIQ: 18.0 | CREDITO: 1.0241999999999998
PRODUTO: 00000000047154 | BC_ST: 94.3 | BC_ICMS: 58.22 | QTD: 7.0 | QTD_UTIL: 7.0 | BASE_PROP: 36.08 | ALIQ: 18.0 | CREDITO: 6.4944
PRODUTO: 00000000047154 | BC_ST: 199.69 | BC_ICMS: 123.29 | QTD: 13.0 | QTD_UTIL: 4.0 | BASE_PROP: 23.507692307692306 | ALIQ: 18.0 | CREDITO: 4.231384615384615
PRODUTO: 00000000047165 | BC_ST: 10.06 | BC_ICMS: 5.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.62 | ALIQ: 18.0 | CREDITO: 0.8316
PRODUTO: 00000000047165 | BC_ST: 25.29 | BC_ICMS: 18.42 | QTD: 2.0 | QTD_UTIL: 1.0 | BASE_PROP: 3.4349999999999987 | ALIQ: 18.0 | CREDITO: 0.6182999999999997
PRODUTO: 00000000047196 | BC_ST: 102.45 | BC_ICMS: 45.42 | QTD: 3.0 | QTD_UTIL: 1.0 | BASE_PROP: 19.01 | ALIQ: 25.0 | CREDITO: 4.7525
PRODUTO: 00000000047321 | BC_ST: 53.38 | BC_ICMS: 26.52 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 26.860000000000003 | ALIQ: 25.0 | CREDITO: 6.715000000000001
PRODUTO: 00000000047339 | BC_ST: 117.25 | BC_ICMS: 70.82 | QTD: 3.0 | QTD_UTIL: 3.0 | BASE_PROP: 46.43000000000001 | ALIQ: 18.0 | CREDITO: 8.3574
PRODUTO: 00000000047339 | BC_ST: 74.2 | BC_ICMS: 44.82 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 29.380000000000003 | ALIQ: 18.0 | CREDITO: 5.2884
