DEBUG ICMS ST - NORMAL

PRODUTO: 00000000047599 | BC_ST: 274.69 | QTD: 8.0 | QTD_UTIL: 6.0 | BC_PROP: 206.01749999999998 | ALIQ: 18.0 | CREDITO: 37.083149999999996
PRODUTO: 00000000047600 | BC_ST: 62.22 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 62.22 | ALIQ: 18.0 | CREDITO: 11.1996
PRODUTO: 00000000047600 | BC_ST: 105.26 | QTD: 4.0 | QTD_UTIL: 3.0 | BC_PROP: 78.94500000000001 | ALIQ: 18.0 | CREDITO: 14.2101
PRODUTO: 00000000047602 | BC_ST: 34.98 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 34.98 | ALIQ: 18.0 | CREDITO: 6.296399999999999
PRODUTO: 00000000047602 | BC_ST: 41.68 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 20.84 | ALIQ: 18.0 | CREDITO: 3.7512
PRODUTO: 00000000047630 | BC_ST: 593.11 | QTD: 7.0 | QTD_UTIL: 2.0 | BC_PROP: 169.46 | ALIQ: 25.0 | CREDITO: 42.365
PRODUTO: 00000000047779 | BC_ST: 68.92 | QTD: 6.0 | QTD_UTIL: 6.0 | BC_PROP: 68.92 | ALIQ: 18.0 | CREDITO: 12.4056
PRODUTO: 00000000047851 | BC_ST: 89.97 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 89.97 | ALIQ: 18.0 | CREDITO: 16.194599999999998
PRODUTO: 00000000047851 | BC_ST: 269.9 | QTD: 3.0 | QTD_UTIL: 2.0 | BC_PROP: 179.9333333333333 | ALIQ: 18.0 | CREDITO: 32.38799999999999
PRODUTO: 00000000047905 | BC_ST: 938.18 | QTD: 12.0 | QTD_UTIL: 12.0 | BC_PROP: 938.1799999999998 | ALIQ: 18.0 | CREDITO: 168.87239999999997
PRODUTO: 00000000047905 | BC_ST: 469.08 | QTD: 6.0 | QTD_UTIL: 1.0 | BC_PROP: 78.17999999999999 | ALIQ: 18.0 | CREDITO: 14.072399999999998
PRODUTO: 00000000047908 | BC_ST: 106.04 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 106.04000000000002 | ALIQ: 18.0 | CREDITO: 19.087200000000003
PRODUTO: 00000000047949 | BC_ST: 520.2 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 520.2 | ALIQ: 25.0 | CREDITO: 130.05
PRODUTO: 00000000047949 | BC_ST: 813.43 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 813.43 | ALIQ: 25.0 | CREDITO: 203.3575
PRODUTO: 00000000047949 | BC_ST: 173.38 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 173.38 | ALIQ: 25.0 | CREDITO: 43.345
PRODUTO: 00000000047949 | BC_ST: 520.2 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 520.2 | ALIQ: 25.0 | CREDITO: 130.05
PRODUTO: 00000000047950 | BC_ST: 454.96 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 454.96000000000004 | ALIQ: 25.0 | CREDITO: 113.74000000000001
PRODUTO: 00000000047950 | BC_ST: 391.94 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 391.94 | ALIQ: 25.0 | CREDITO: 97.985
PRODUTO: 00000000047950 | BC_ST: 303.34 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 303.34 | ALIQ: 25.0 | CREDITO: 75.835
PRODUTO: 00000000047950 | BC_ST: 783.82 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 783.82 | ALIQ: 25.0 | CREDITO: 195.955
PRODUTO: 00000000047950 | BC_ST: 979.8 | QTD: 5.0 | QTD_UTIL: 3.0 | BC_PROP: 587.8799999999999 | ALIQ: 25.0 | CREDITO: 146.96999999999997
PRODUTO: 00000000047962 | BC_ST: 23.41 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 23.41 | ALIQ: 18.0 | CREDITO: 4.2138
PRODUTO: 00000000047962 | BC_ST: 68.58 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 68.58 | ALIQ: 18.0 | CREDITO: 12.344399999999998
PRODUTO: 00000000047968 | BC_ST: 19.31 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 19.31 | ALIQ: 25.0 | CREDITO: 4.8275
